Project;                    Version;                License;                        License link;                                                                                               Website;                                                                                                                Development
graphviz;                   2.38;                   EPL;                            `License <https://graphviz.org/license/>`__;                                                                `Website <https://graphviz.org>`__;                                                                                     `Dev <https://gitlab.com/graphviz/graphviz>`__
idna;                       2.7;                    BSD like/Python-2.0;            `License <https://github.com/kjd/idna/blob/v2.7/LICENSE.rst>`__;                                            `Website <https://github.com/kjd/idna>`__;                                                                              `Dev <https://github.com/kjd/idna>`__
imagesize;                  1.0.0;                  MIT;                            `License <https://github.com/shibukawa/imagesize_py/blob/1.0.0/LICENSE.rst>`__;                             `Website <https://github.com/shibukawa/imagesize_py>`__;                                                                `Dev <https://github.com/shibukawa/imagesize_py>`__
jinja2;                     2.1;                    BSD-3-Clause;                   `License <https://github.com/pallets/jinja/blob/2.10/LICENSE>`__;                                           `Website <https://palletsprojects.com/p/jinja>`__;                                                                      `Dev <https://github.com/pallets/jinja>`__
matplotlib;                 see [4]_;               BSD/Python2-0;                  `License <https://matplotlib.org/users/license.html>`__;                                                    `Website <https://matplotlib.org>`__;                                                                                   `Dev <https://github.com/matplotlib/matplotlib>`__
markupsafe;                 1;                      BSD-3-Clause;                   `License <https://github.com/pallets/markupsafe/blob/1.0/LICENSE>`__;                                       `Website <https://palletsprojects.com/p/markupsafe>`__;                                                                 `Dev <https://github.com/pallets/markupsafe>`__
mccabe;                     0.6.1;                  MIT;                            `License <https://github.com/PyCQA/mccabe/blob/0.6.1/LICENSE>`__;                                           `Website <https://github.com/pycqa/mccabe>`__;                                                                          `Dev <https://github.com/pycqa/mccabe>`__
menuinst;                   01.04.2014;             BSD-3-Clause;                   `License <https://github.com/ContinuumIO/menuinst/blob/1.4.14/LICENSE.txt>`__;                              `Website <https://github.com/ContinuumIO/menuinst>`__;                                                                  `Dev <https://github.com/ContinuumIO/menuinst>`__
openssl;                    1.0.2p;                 OpenSSL License/SSLeay license; `License <https://www.openssl.org/source/license-openssl-ssleay.txt>`__;                                    `Website <https://www.openssl.org>`__;                                                                                  `Dev <https://github.com/openssl/openssl>`__
packaging;                  17.1;                   Apache-2.0;                     `License <https://github.com/pypa/packaging/blob/17.1/LICENSE>`__;                                          `Website <https://packaging.python.org>`__;                                                                             `Dev <https://github.com/pypa/packaging>`__
PCAN library;               4.3.2.161;              custom license;                 `License <https://github.com/foxBMS/foxbms/blob/master/tools/gui/readme.txt>`__;                            `Website <https://www.peak-system.com/PCAN-Basic.239.0.html>`__;                                                        N/A
pefile;                     05.11.2017;             MIT;                            `License <https://github.com/erocarrera/pefile/blob/v2017.11.5/LICENSE>`__;                                 `Website <https://github.com/erocarrera/pefile>`__;                                                                     `Dev <https://github.com/erocarrera/pefile>`__
pip;                        10.0.1;                 MIT;                            `License <https://github.com/pypa/pip/blob/10.0.1/LICENSE.txt>`__;                                          `Website <https://github.com/pypa/pip>`__;                                                                              `Dev <https://github.com/pypa/pip>`__
pkginfo;                    01.04.2002;             MIT;                            `License <https://pypi.org/project/pkginfo/>`__;                                                            `Website <https://launchpad.net/pkginfo>`__;                                                                            `Dev <https://code.launchpad.net/~tseaver/pkginfo/trunk>`__
psutil;                     05.04.2007;             BSD-3-Clause;                   `License <https://github.com/giampaolo/psutil/blob/release-5.4.7/LICENSE>`__;                               `Website <https://github.com/giampaolo/psutil>`__;                                                                      `Dev <https://github.com/giampaolo/psutil>`__
pycodestyle;                02.03.2001;             Expat;                          `License <https://github.com/PyCQA/pycodestyle/blob/2.3.1/LICENSE>`__;                                      `Website <https://pycodestyle.readthedocs.io/en/latest>`__;                                                             `Dev <https://github.com/PyCQA/pycodestyle>`__
pycosat;                    0.6.3;                  MIT;                            `License <https://github.com/ContinuumIO/pycosat/blob/0.6.3/LICENSE>`__;                                    `Website <https://github.com/ContinuumIO/pycosat>`__;                                                                   `Dev <https://github.com/ContinuumIO/pycosat>`__
pycparser;                  2.18;                   BSD-3-Clause;                   `License <https://github.com/eliben/pycparser/blob/release_v2.18/LICENSE>`__;                               `Website <https://github.com/eliben/pycparser>`__;                                                                      `Dev <https://github.com/eliben/pycparser>`__
pycrypto;                   02.06.2001;             N/A;                            `License <https://github.com/dlitz/pycrypto/blob/v2.6.1/COPYRIGHT>`__;                                      `Website <https://www.dlitz.net/software/pycrypto>`__;                                                                  `Dev <https://github.com/dlitz/pycrypto>`__
PyDev;                      see [5]_;               EPL;                            `License <https://github.com/fabioz/Pydev/blob/master/LICENSE.txt>`__;                                      `Website <https://www.pydev.org>`__;                                                                                    `Dev <https://github.com/fabioz/Pydev>`__
pyflakes;                   01.06.2000;             MIT;                            `License <https://github.com/PyCQA/pyflakes/blob/1.6.0/LICENSE>`__;                                         `Website <https://github.com/PyCQA/pyflakes>`__;                                                                        `Dev <https://github.com/PyCQA/pyflakes>`__
pygments;                   02.02.2000;             BSD-2-Clause;                   `License <https://github.com/pygments/pygments/blob/2.2.0/LICENSE>`__;                                      `Website <https://pygments.org/docs>`__;                                                                                `Dev <https://github.com/pygments/pygments>`__
pyinstaller;                03.03.2001;             GPL-2.0;                        `License <https://github.com/pyinstaller/pyinstaller/blob/v3.3.1/COPYING.txt>`__;                           `Website <https://www.pyinstaller.org>`__;                                                                              `Dev <https://github.com/pyinstaller/pyinstaller>`__
pyopenssl;                  18.0.0;                 Apache-2.0;                     `License <https://github.com/pyca/pyopenssl/blob/18.0.0/LICENSE>`__;                                        `Website <https://www.pyopenssl.org>`__;                                                                                `Dev <https://github.com/pyca/pyopenssl>`__
pyparsing;                  02.02.2000;             MIT;                            `License <https://github.com/pyparsing/pyparsing/blob/pyparsing_2.2.0/src/LICENSE>`__;                      `Website <https://github.com/pyparsing/pyparsing>`__;                                                                   `Dev <https://github.com/pyparsing/pyparsing>`__
pyserial;                   3.4;                    BSD-3-Clause;                   `License <https://github.com/pyserial/pyserial/blob/v3.4/LICENSE.txt>`__;                                   `Website <https://pythonhosted.org/pyserial>`__;                                                                        `Dev <https://github.com/pyserial/pyserial>`__
